vignette_name,generation_number,generation_time,response,reflection_score,id
ring,0,12767,make fake rings,55,5ae208fe38df950001454cc3
ring,1,8718,call the taxi driver,75,5ae208fe38df950001454cc3
ring,2,4017,cry,2,5ae208fe38df950001454cc3
ring,3,12310,interrupt the bride and groom,61,5ae208fe38df950001454cc3
ring,4,8686,run away,1,5ae208fe38df950001454cc3
ring,5,9673,borrow rings,82,5ae208fe38df950001454cc3
arizona,0,4465,preserve urine,68,5ae208fe38df950001454cc3
arizona,1,5945,try to free her arm,77,5ae208fe38df950001454cc3
arizona,2,3966,walk for help,66,5ae208fe38df950001454cc3
arizona,3,4427,cut her arm off,19,5ae208fe38df950001454cc3
arizona,4,6619,leave her to die,0,5ae208fe38df950001454cc3
arizona,5,10448,start a fire for attention,60,5ae208fe38df950001454cc3
concert,0,4591,buy  a new ticket,87,5ae208fe38df950001454cc3
concert,1,5438,look for an online confirmation,72,5ae208fe38df950001454cc3
concert,2,3766,leave Ted behind,33,5ae208fe38df950001454cc3
concert,3,7347,have Ted go home,10,5ae208fe38df950001454cc3
concert,4,4570,skip the concert,0,5ae208fe38df950001454cc3
concert,5,7455,leave Ted outside,17,5ae208fe38df950001454cc3
summer,0,3337,call 911,91,5ae208fe38df950001454cc3
summer,1,5232,tell the store manager,83,5ae208fe38df950001454cc3
summer,2,3952,break a window,55,5ae208fe38df950001454cc3
summer,3,4903,look for the owner,61,5ae208fe38df950001454cc3
summer,4,8542,try to get the doors open,69,5ae208fe38df950001454cc3
summer,5,4491,leave,0,5ae208fe38df950001454cc3
medication,0,3975,start a go fund me,68,5ae208fe38df950001454cc3
medication,1,4205,borrow money,77,5ae208fe38df950001454cc3
medication,2,2841,steal money,17,5ae208fe38df950001454cc3
medication,3,8020,ask family for help,89,5ae208fe38df950001454cc3
medication,4,2844,let them die,2,5ae208fe38df950001454cc3
medication,5,6747,steal the medicine,9,5ae208fe38df950001454cc3
mother,0,5363,start a go fund me,55,5ae208fe38df950001454cc3
mother,1,8434,ask other family members,60,5ae208fe38df950001454cc3
mother,2,3614,government assistance,50,5ae208fe38df950001454cc3
mother,3,4341,leave him alone,5,5ae208fe38df950001454cc3
mother,4,9473,move him in,55,5ae208fe38df950001454cc3
mother,5,10066,sell his house and move with him to somewhere new,96,5ae208fe38df950001454cc3
bakery,0,6424,double check the register,96,5ae208fe38df950001454cc3
bakery,1,8232,ask all employees to help make up the difference,60,5ae208fe38df950001454cc3
bakery,2,2353,let it go,0,5ae208fe38df950001454cc3
bakery,3,9241,pay it yourself,21,5ae208fe38df950001454cc3
bakery,4,8850,make them work,53,5ae208fe38df950001454cc3
bakery,5,11689,hide,11,5ae208fe38df950001454cc3
gas,0,2670,say no,73,5ae208fe38df950001454cc3
gas,1,9273,give her money to go away,47,5ae208fe38df950001454cc3
gas,2,6417,let her borrow your phone,59,5ae208fe38df950001454cc3
gas,3,2190,call an uber,45,5ae208fe38df950001454cc3
gas,4,1984,ignore her,72,5ae208fe38df950001454cc3
gas,5,8115,tell her to go away,68,5ae208fe38df950001454cc3
class,0,4059,tell the professor,90,5ae208fe38df950001454cc3
class,1,4553,call your mom to bring it in,62,5ae208fe38df950001454cc3
class,2,3264,send it in late,79,5ae208fe38df950001454cc3
class,3,3684,try to redo it,61,5ae208fe38df950001454cc3
class,4,4848,do nothing,10,5ae208fe38df950001454cc3
class,5,3171,cry,5,5ae208fe38df950001454cc3
store,0,5994,call another co-worker,71,5ae208fe38df950001454cc3
store,1,3409,lock up the store,66,5ae208fe38df950001454cc3
store,2,2884,call the court,70,5ae208fe38df950001454cc3
store,3,4608,leave work,36,5ae208fe38df950001454cc3
store,4,8979,quit,13,5ae208fe38df950001454cc3
store,5,7890,hope he comes in,56,5ae208fe38df950001454cc3
bakery,0,12845,Check the cameras,100,58f1017ac325470001795b01
bakery,1,14677,Ask the employees about it,88,58f1017ac325470001795b01
bakery,2,22609,Make up the money,13,58f1017ac325470001795b01
bakery,3,22915,Tell the boss the truth,58,58f1017ac325470001795b01
bakery,4,8686,Have a meeting about stealing,70,58f1017ac325470001795b01
bakery,5,30896,Only have the same person work the register,31,58f1017ac325470001795b01
ring,0,4115,Stall the wedding,13,58f1017ac325470001795b01
ring,1,4966,Call the taxi cab company,100,58f1017ac325470001795b01
ring,2,12254,Replace the ring with another one,91,58f1017ac325470001795b01
ring,3,5016,Tell everyone the truth,75,58f1017ac325470001795b01
ring,4,8776,Go get it,41,58f1017ac325470001795b01
ring,5,20653,Chase down the cab,27,58f1017ac325470001795b01
gas,1,4975,Give an excuse,36,58f1017ac325470001795b01
gas,2,36824,Tell her she can borrow your phone to call someone,94,58f1017ac325470001795b01
gas,3,40132,Avoid eye contact,1,58f1017ac325470001795b01
gas,4,24564,Find someone else to help her,62,58f1017ac325470001795b01
concert,0,5571,Wait with him outside,74,58f1017ac325470001795b01
concert,1,7799,Have him call someone to get the ticket,94,58f1017ac325470001795b01
concert,2,3512,Look for a scalper,12,58f1017ac325470001795b01
concert,3,20028,Tell him goodbye,3,58f1017ac325470001795b01
concert,4,18445,Tell him they will meet up after the concert,56,58f1017ac325470001795b01
concert,5,32574,Smuggle him inside,3,58f1017ac325470001795b01
medication,0,9400,Sell something I own,98,58f1017ac325470001795b01
medication,1,3480,Steal the money,0,58f1017ac325470001795b01
medication,2,33282,Steal the medicine,1,58f1017ac325470001795b01
medication,3,4901,Call the insurance company,92,58f1017ac325470001795b01
medication,4,3711,Search for some coupons,75,58f1017ac325470001795b01
medication,5,7314,Ask the pharmacy about discounts,100,58f1017ac325470001795b01
arizona,0,4887,Find some extra water,81,58f1017ac325470001795b01
arizona,1,6601,Make shade for the person,98,58f1017ac325470001795b01
arizona,2,9925,Get them as comfortable as possible,89,58f1017ac325470001795b01
arizona,3,15082,Leave to find help,32,58f1017ac325470001795b01
arizona,4,21558,Leave her there and go home,0,58f1017ac325470001795b01
arizona,5,9855,Try and get her unstuck,62,58f1017ac325470001795b01
class,0,3936,Call your mom,72,58f1017ac325470001795b01
class,1,1979,Ditch class,1,58f1017ac325470001795b01
class,2,2975,go home and get it,30,58f1017ac325470001795b01
class,3,6031,Make up an excuse,0,58f1017ac325470001795b01
class,4,2241,Tell the truth,86,58f1017ac325470001795b01
class,5,8509,Have her email it to you,100,58f1017ac325470001795b01
summer,0,4805,Break the windows,89,58f1017ac325470001795b01
summer,1,2173,Call the cops,69,58f1017ac325470001795b01
summer,2,2681,Call animal control,85,58f1017ac325470001795b01
summer,3,3253,Find some water,100,58f1017ac325470001795b01
summer,4,7305,Ask someone nearby for help,100,58f1017ac325470001795b01
summer,5,9829,Track down the owner,60,58f1017ac325470001795b01
mother,0,6153,Ask insurance about a nurse,89,58f1017ac325470001795b01
mother,1,8842,Call insurance for options,100,58f1017ac325470001795b01
mother,2,13192,See if a relative can help,63,58f1017ac325470001795b01
mother,3,3089,Move into his house,53,58f1017ac325470001795b01
mother,4,8938,Raise some money,33,58f1017ac325470001795b01
mother,5,6323,Find other help,75,58f1017ac325470001795b01
store,0,3982,Shut down the store,1,58f1017ac325470001795b01
store,1,3246,Call in a replacement,90,58f1017ac325470001795b01
store,2,2105,Call the owner,96,58f1017ac325470001795b01
store,3,8651,Leave the store unattended,0,58f1017ac325470001795b01
store,4,5769,Reschedule your court appointment,69,58f1017ac325470001795b01
store,5,8363,Stay until the owner gets there,61,58f1017ac325470001795b01
mother,0,13139,Move into their house,81,5f202f442841bb2b5a8bda34
mother,1,10295,Apply for aid,87,5f202f442841bb2b5a8bda34
mother,2,9038,Ask another relative for help,80,5f202f442841bb2b5a8bda34
mother,3,12080,Sell their house and move into another place,46,5f202f442841bb2b5a8bda34
mother,4,22872,Start a Go Fund Me,26,5f202f442841bb2b5a8bda34
mother,5,7441,Ask relatives for money,67,5f202f442841bb2b5a8bda34
class,0,11858,Call my mom and have her bring the homework,89,5f202f442841bb2b5a8bda34
class,1,8622,"Explain to the teacher the situation ",100,5f202f442841bb2b5a8bda34
class,2,5174,Ask for an extension,90,5f202f442841bb2b5a8bda34
class,3,21055,See if I can run home quick and grab it,74,5f202f442841bb2b5a8bda34
class,4,8692,Have my mom call the teacher,55,5f202f442841bb2b5a8bda34
class,5,24686,Not turn in the assignment,0,5f202f442841bb2b5a8bda34
arizona,0,10773,Leave her and find better service,55,5f202f442841bb2b5a8bda34
arizona,1,23519,Try to get out of the sun,66,5f202f442841bb2b5a8bda34
arizona,2,4894,Cut off her arm,0,5f202f442841bb2b5a8bda34
arizona,3,9019,Hike away to find help,56,5f202f442841bb2b5a8bda34
arizona,4,11257,"Continue trying to call 911 ",100,5f202f442841bb2b5a8bda34
arizona,5,6896,Continue trying to get her arm out,100,5f202f442841bb2b5a8bda34
ring,0,6739,Call the taxi company,100,5f202f442841bb2b5a8bda34
ring,1,7411,Tell the bride/groom,100,5f202f442841bb2b5a8bda34
ring,2,8498,Borrow a different ring for the time being,76,5f202f442841bb2b5a8bda34
ring,3,33265,Send someone to get the rings,86,5f202f442841bb2b5a8bda34
ring,4,3269,panic,9,5f202f442841bb2b5a8bda34
ring,5,33165,Go without the rings,51,5f202f442841bb2b5a8bda34
bakery,0,7869,Call the manager,100,5f202f442841bb2b5a8bda34
bakery,1,3988,Re-count the money,100,5f202f442841bb2b5a8bda34
bakery,2,11246,Check around the register area for any slipped out money,100,5f202f442841bb2b5a8bda34
bakery,3,7866,Review the security footage for stealing,100,5f202f442841bb2b5a8bda34
bakery,4,11468,Work the overtime,69,5f202f442841bb2b5a8bda34
bakery,5,6009,replace the money,38,5f202f442841bb2b5a8bda34
summer,0,2641,Call 911,100,5f202f442841bb2b5a8bda34
summer,1,8302,Go into the mall and tell security,100,5f202f442841bb2b5a8bda34
summer,2,2743,break the window,100,5f202f442841bb2b5a8bda34
summer,3,9140,try to open the door,100,5f202f442841bb2b5a8bda34
summer,4,5205,try to find the owner,79,5f202f442841bb2b5a8bda34
summer,5,3123,call animal control,86,5f202f442841bb2b5a8bda34
medication,0,6759,Ask relatives for money,79,5f202f442841bb2b5a8bda34
medication,1,5754,Take out a credit card,74,5f202f442841bb2b5a8bda34
medication,2,8812,Get a second job,100,5f202f442841bb2b5a8bda34
medication,3,92814,Start Go Fund Me,62,5f202f442841bb2b5a8bda34
medication,4,11129,Garage sale,57,5f202f442841bb2b5a8bda34
medication,5,10086,Take out second mortgage,81,5f202f442841bb2b5a8bda34
store,0,7742,Call other employees to see if they can come in,100,5f202f442841bb2b5a8bda34
store,1,9938,Call the court and explain you may be late,72,5f202f442841bb2b5a8bda34
store,2,5467,Lock up the store and leave,100,5f202f442841bb2b5a8bda34
store,3,13801,Continue calling the manager,100,5f202f442841bb2b5a8bda34
store,4,6144,Call 911 for a wellness check,53,5f202f442841bb2b5a8bda34
store,5,30912,Call and see if the appointment can be rescheduled,53,5f202f442841bb2b5a8bda34
concert,0,7992,See if the venue can look up his information,100,5f202f442841bb2b5a8bda34
concert,1,9153,Skip the concert with Ted,71,5f202f442841bb2b5a8bda34
concert,2,13477,Have Ted skip the concert and meet up later,71,5f202f442841bb2b5a8bda34
concert,3,13902,Ted goes home for his ticket,40,5f202f442841bb2b5a8bda34
concert,5,18801,See if there are extra tickets for sale,100,5f202f442841bb2b5a8bda34
gas,0,6127,Give her the ride,84,5f202f442841bb2b5a8bda34
gas,1,4447,Decline to drive her,33,5f202f442841bb2b5a8bda34
gas,2,8308,Offer to call an Uber,47,5f202f442841bb2b5a8bda34
gas,4,13563,Offer a ride to near bus station,77,5f202f442841bb2b5a8bda34
gas,5,15595,Tell her how to get to a nearby bus station,77,5f202f442841bb2b5a8bda34
medication,0,8307,Take out a loan.,66,5b76ce43bfc4cb0001f2c4c3
medication,1,18236,Sell owned items.,55,5b76ce43bfc4cb0001f2c4c3
medication,2,12452,Search for discount programs.,83,5b76ce43bfc4cb0001f2c4c3
medication,3,15693,Become part of a medical trial,82,5b76ce43bfc4cb0001f2c4c3
medication,4,13874,Apply for government assistance,85,5b76ce43bfc4cb0001f2c4c3
medication,5,20508,Mortgage the house,30,5b76ce43bfc4cb0001f2c4c3
summer,0,6797,Call the police,93,5b76ce43bfc4cb0001f2c4c3
summer,1,7059,Search for car owner,64,5b76ce43bfc4cb0001f2c4c3
summer,2,6652,break the window,56,5b76ce43bfc4cb0001f2c4c3
summer,3,7620,Yell at owner,42,5b76ce43bfc4cb0001f2c4c3
summer,4,14844,yell for help,63,5b76ce43bfc4cb0001f2c4c3
summer,5,5909,monitor the dog,52,5b76ce43bfc4cb0001f2c4c3
concert,0,9445,Buy another ticket,76,5b76ce43bfc4cb0001f2c4c3
concert,1,10652,let him have your ticket,53,5b76ce43bfc4cb0001f2c4c3
concert,2,8556,appeal to ticket agent,79,5b76ce43bfc4cb0001f2c4c3
concert,3,5130,sneak him in,53,5b76ce43bfc4cb0001f2c4c3
concert,4,14284,make a counterfeit ticket,27,5b76ce43bfc4cb0001f2c4c3
concert,5,5270,steal ticket,15,5b76ce43bfc4cb0001f2c4c3
class,0,15062,re do homework quickly,68,5b76ce43bfc4cb0001f2c4c3
class,1,10205,copy from someone else,54,5b76ce43bfc4cb0001f2c4c3
class,2,5294,explain to teacher,86,5b76ce43bfc4cb0001f2c4c3
class,3,11653,pretend to be sick and leave,38,5b76ce43bfc4cb0001f2c4c3
class,4,15972,have mother bring to you,92,5b76ce43bfc4cb0001f2c4c3
class,5,8699,take a failing grade,17,5b76ce43bfc4cb0001f2c4c3
ring,0,17589,ask relative for their ring,76,5b76ce43bfc4cb0001f2c4c3
ring,1,8989,pretend to have imaginary ring,33,5b76ce43bfc4cb0001f2c4c3
ring,2,8893,send groomsmen back for ring,67,5b76ce43bfc4cb0001f2c4c3
ring,3,33093,have the wedding postponed,10,5b76ce43bfc4cb0001f2c4c3
ring,4,7553,explain to bride,32,5b76ce43bfc4cb0001f2c4c3
ring,5,7428,explain to groom,18,5b76ce43bfc4cb0001f2c4c3
gas,0,6854,call her a taxi,81,5b76ce43bfc4cb0001f2c4c3
gas,1,7167,offer money for taxi,58,5b76ce43bfc4cb0001f2c4c3
gas,2,7244,call uber for her,70,5b76ce43bfc4cb0001f2c4c3
gas,3,11385,explain you are sick,34,5b76ce43bfc4cb0001f2c4c3
gas,4,8587,say you are in a hurry,63,5b76ce43bfc4cb0001f2c4c3
gas,5,5389,ignore her,45,5b76ce43bfc4cb0001f2c4c3
arizona,0,8669,bring shade to her,57,5b76ce43bfc4cb0001f2c4c3
arizona,1,4942,keep trying 911,84,5b76ce43bfc4cb0001f2c4c3
arizona,2,14637,cover up with clothing,57,5b76ce43bfc4cb0001f2c4c3
arizona,3,11865,pour water on her,61,5b76ce43bfc4cb0001f2c4c3
arizona,4,4868,yell for help,69,5b76ce43bfc4cb0001f2c4c3
arizona,5,4869,go find help,88,5b76ce43bfc4cb0001f2c4c3
bakery,0,7678,put 50 in the register,37,5b76ce43bfc4cb0001f2c4c3
bakery,1,6057,explain to boss,72,5b76ce43bfc4cb0001f2c4c3
bakery,2,7523,keep it a secret,41,5b76ce43bfc4cb0001f2c4c3
bakery,3,9133,misadd numbers,58,5b76ce43bfc4cb0001f2c4c3
bakery,4,10236,pretend to be sick and leave,16,5b76ce43bfc4cb0001f2c4c3
bakery,5,11548,steal 50 to add to drawer,25,5b76ce43bfc4cb0001f2c4c3
store,0,5756,leave anyway,48,5b76ce43bfc4cb0001f2c4c3
store,1,7261,keep calling boss,71,5b76ce43bfc4cb0001f2c4c3
store,2,10373,call another coworker,81,5b76ce43bfc4cb0001f2c4c3
store,3,6741,close the store,38,5b76ce43bfc4cb0001f2c4c3
store,4,7243,miss appointment,39,5b76ce43bfc4cb0001f2c4c3
store,5,5092,quit job,32,5b76ce43bfc4cb0001f2c4c3
mother,0,9301,ask brother to take him in,64,5b76ce43bfc4cb0001f2c4c3
mother,1,7804,get father married again,42,5b76ce43bfc4cb0001f2c4c3
mother,2,5716,move to new house,74,5b76ce43bfc4cb0001f2c4c3
mother,3,6012,ignore father,16,5b76ce43bfc4cb0001f2c4c3
mother,4,10202,take father to homeless shelter,0,5b76ce43bfc4cb0001f2c4c3
mother,5,5443,shoot father,0,5b76ce43bfc4cb0001f2c4c3
concert,0,19782,Go in without him.,6,5d461284d9b0690001720f6d
concert,1,12152,Send him back home for his ticket.,73,5d461284d9b0690001720f6d
concert,2,6974,Miss the concert.,19,5d461284d9b0690001720f6d
concert,3,14320,Wait for him to go home and get it.,88,5d461284d9b0690001720f6d
concert,4,29495,Buy another ticket.,100,5d461284d9b0690001720f6d
concert,5,12471,Fuss at him.,3,5d461284d9b0690001720f6d
arizona,0,9803,Drink my own pee.,67,5d461284d9b0690001720f6d
arizona,1,16635,Holler for help.,84,5d461284d9b0690001720f6d
arizona,2,5467,Search for help.,87,5d461284d9b0690001720f6d
arizona,3,16260,Make a fire to draw attention.,75,5d461284d9b0690001720f6d
arizona,4,17332,Look for water.,78,5d461284d9b0690001720f6d
arizona,5,11532,Cut her arm off.,1,5d461284d9b0690001720f6d
gas,0,8890,Give her a ride.,95,5d461284d9b0690001720f6d
gas,1,9946,Giver her money.,72,5d461284d9b0690001720f6d
gas,2,15430,Call her a cab.,66,5d461284d9b0690001720f6d
gas,4,12235,Take her to a bus station.,40,5d461284d9b0690001720f6d
gas,5,10652,Ignore her.,3,5d461284d9b0690001720f6d
summer,0,6707,Call the police.,98,5d461284d9b0690001720f6d
summer,1,5484,Break the window.,52,5d461284d9b0690001720f6d
summer,2,9556,Tell the store manager.,67,5d461284d9b0690001720f6d
summer,3,4612,Look for the owner.,63,5d461284d9b0690001720f6d
summer,4,16508,Pry the door open.,67,5d461284d9b0690001720f6d
summer,5,54179,Yell for help.,57,5d461284d9b0690001720f6d
medication,0,9175,Get another job.,75,5d461284d9b0690001720f6d
medication,1,8523,Look into financial aid.,95,5d461284d9b0690001720f6d
medication,2,5443,Sell myself.,1,5d461284d9b0690001720f6d
medication,3,9572,Rob a bank.,5,5d461284d9b0690001720f6d
medication,4,28939,Sue the pharmaceutical company.,82,5d461284d9b0690001720f6d
medication,5,23197,Go to Mexico for care.,98,5d461284d9b0690001720f6d
mother,0,7281,Take him in anyway.,57,5d461284d9b0690001720f6d
mother,1,6035,Move to a bigger place.,69,5d461284d9b0690001720f6d
mother,2,18980,Take him to the cheapest nursing home.,0,5d461284d9b0690001720f6d
mother,3,9652,Let him fend for himself.,0,5d461284d9b0690001720f6d
mother,4,26203,Find other family he can live with.,81,5d461284d9b0690001720f6d
mother,5,8867,Find friends he can live with.,79,5d461284d9b0690001720f6d
bakery,0,19623,Question the employees.,88,5d461284d9b0690001720f6d
bakery,1,25395,Check the employees for the money.,44,5d461284d9b0690001720f6d
bakery,2,11492,Replace the money myself.,9,5d461284d9b0690001720f6d
bakery,3,13355,Have the employees split the cost to replace the money.,76,5d461284d9b0690001720f6d
bakery,5,9883,Quit my job.,19,5d461284d9b0690001720f6d
class,0,11679,"Tell the teacher my situation. ",97,5d461284d9b0690001720f6d
class,1,6588,Go back for my work.,73,5d461284d9b0690001720f6d
class,2,13412,Bring the assignment the next day.,76,5d461284d9b0690001720f6d
class,3,6564,Offer to do extra work.,62,5d461284d9b0690001720f6d
class,4,11426,Call my mom to bring it to me.,100,5d461284d9b0690001720f6d
class,5,7203,Take the bad grade.,12,5d461284d9b0690001720f6d
store,0,9843,Call his boss.,82,5d461284d9b0690001720f6d
store,1,10564,Call a coworker.,76,5d461284d9b0690001720f6d
store,2,7763,Leave anyway.,22,5d461284d9b0690001720f6d
store,3,5476,Miss my appointment.,2,5d461284d9b0690001720f6d
