vignette_name,generation_number,generation_time,response,reflection_score,id
store,4,15940,Lock up and close the store.,45,5d461284d9b0690001720f6d
store,5,13428,Quit my job.,24,5d461284d9b0690001720f6d
ring,0,9543,Call the taxi service.,70,5d461284d9b0690001720f6d
ring,1,9108,Tell the bride and groom.,60,5d461284d9b0690001720f6d
ring,2,16091,Borrow a ring from someone for the ceremony.,71,5d461284d9b0690001720f6d
ring,3,23876,Leave the wedding.,4,5d461284d9b0690001720f6d
ring,4,18772,Pay the couple back for the ring after the ceremony.,94,5d461284d9b0690001720f6d
ring,5,13140,Lie.,0,5d461284d9b0690001720f6d
bakery,0,11427,Figure out who was working the register,86,5c39606586c1450001a9675d
bakery,1,13045,Ask my coworkers questions,89,5c39606586c1450001a9675d
bakery,2,6159,Check inventory,66,5c39606586c1450001a9675d
bakery,3,12959,Let my manager know about the situation,50,5c39606586c1450001a9675d
bakery,4,19175,Figure out where the discrepancy is coming from,74,5c39606586c1450001a9675d
bakery,5,15024,Try to figure out if this is a mistake or theft,74,5c39606586c1450001a9675d
store,0,9324,Call emergency contacts for the store,63,5c39606586c1450001a9675d
store,1,11294,Call coworkers and see if they can come in,50,5c39606586c1450001a9675d
store,2,13392,Call bosses spouse or partner,58,5c39606586c1450001a9675d
store,3,4623,Call the courthouse,34,5c39606586c1450001a9675d
store,4,10530,Lock the store up and put closed sign in the door,52,5c39606586c1450001a9675d
store,5,34444,Leave a message for my boss explaining the situation - I dont want a bench warrant issued for my arrest,74,5c39606586c1450001a9675d
gas,0,10910,Apologize and say no,61,5c39606586c1450001a9675d
gas,1,8830,Offer to call her a cab,81,5c39606586c1450001a9675d
gas,2,16375,Offer her to use my cellphone to call a friend or family member to get her,83,5c39606586c1450001a9675d
gas,3,6999,Look up the bus schedule,59,5c39606586c1450001a9675d
gas,4,11080,Ask the gas station attendant to help her,50,5c39606586c1450001a9675d
summer,0,6796,Try to open the car,79,5c39606586c1450001a9675d
summer,1,19347,Go inside store and speak to a manager about making an announcement,100,5c39606586c1450001a9675d
summer,2,14143,Record license plate and take pictures/videos of the car and dog,72,5c39606586c1450001a9675d
summer,3,3323,Call 911,76,5c39606586c1450001a9675d
summer,4,12630,Break a window in order to open the car door,50,5c39606586c1450001a9675d
summer,5,11147,Gather witnesses,100,5c39606586c1450001a9675d
medication,0,28149,Ask the pharmacy for discount program options,83,5c39606586c1450001a9675d
medication,1,23943,Call the pharmaceutical company and explain the situation. Ask for coupon/discount,89,5c39606586c1450001a9675d
medication,2,9561,"Talk to doctor about alternatives ",87,5c39606586c1450001a9675d
medication,3,9846,Talk to insurance company about alternatives,50,5c39606586c1450001a9675d
medication,4,19081,Get a credit card and figure out side hustle to pay it off,55,5c39606586c1450001a9675d
medication,5,6209,Make gofundme,27,5c39606586c1450001a9675d
ring,0,13281,Call the taxi service,66,5c39606586c1450001a9675d
ring,1,11911,Enlist the help of friends tracking down the taxi,88,5c39606586c1450001a9675d
ring,3,11125,Let me sister and parents know,67,5c39606586c1450001a9675d
ring,5,14431,Apologize like crazy,100,5c39606586c1450001a9675d
arizona,0,27882,Build shelter around my friend as well as possible,84,5c39606586c1450001a9675d
arizona,1,14647,Go through food and water and divide the rations between me and my friend,87,5c39606586c1450001a9675d
arizona,2,26377,"Go for help, making markings along the way so we can find my friend when we come back",89,5c39606586c1450001a9675d
arizona,3,28178,Start calling out every 500 ft or so to see if anyone else is on the trail and can help,87,5c39606586c1450001a9675d
arizona,4,15478,Keep trying my phone the closer I get back to the parking lot,94,5c39606586c1450001a9675d
arizona,5,9542,Pray,94,5c39606586c1450001a9675d
concert,0,16316,Find a ticket for sale in the crowd,50,5c39606586c1450001a9675d
concert,1,6491,Offer my ticket to my friend,74,5c39606586c1450001a9675d
concert,2,15179,Offer my car for my friend to go back and get his ticket,62,5c39606586c1450001a9675d
concert,3,10957,Offer to skip the show with my friend,79,5c39606586c1450001a9675d
concert,4,20244,Offer an alternative activity to the show like going out to the bar,85,5c39606586c1450001a9675d
concert,5,20426,Call other friends to see if they could pick up the ticket and meet us at the show,63,5c39606586c1450001a9675d
mother,0,7897,Start looking for new apartments,83,5c39606586c1450001a9675d
mother,1,9643,Consider moving in to my parents home,86,5c39606586c1450001a9675d
mother,2,12181,Research home health aides for my dad,57,5c39606586c1450001a9675d
mother,3,17345,Reach out to social services to see what help may be available,85,5c39606586c1450001a9675d
mother,4,18426,See if my dad could temporarily move in with another relative,64,5c39606586c1450001a9675d
mother,5,39214,Let my Dad stay in his home but schedule regular visits to take care of him,61,5c39606586c1450001a9675d
class,0,12862,Try to recreate my assignment,72,5c39606586c1450001a9675d
class,1,11762,Call my mom and see if she would be able to bring it to me,50,5c39606586c1450001a9675d
class,2,23343,Talk to the teacher before class begins about possibility for late turn in for partial credit,69,5c39606586c1450001a9675d
class,3,23860,Think about how I need to double-check my stuff before I leave in the mornings,76,5c39606586c1450001a9675d
class,4,26244,Figure out how badly this impacts my grade,28,5c39606586c1450001a9675d
class,5,9111,Hate myself,16,5c39606586c1450001a9675d
medication,0,14874,Do GoFundMe page for the money.,64,5b0ad393e9270900013b96e6
medication,1,21442,Tell them to get a job and help out with the $.,95,5b0ad393e9270900013b96e6
medication,2,17473,Buy black market meds from the internet.,30,5b0ad393e9270900013b96e6
medication,3,13388,Buy better insurance.,100,5b0ad393e9270900013b96e6
medication,4,51051,Put them in a coping skill class to suffer through it.,63,5b0ad393e9270900013b96e6
medication,5,11760,Ignore the situation.,13,5b0ad393e9270900013b96e6
summer,0,12626,Have store page driver.,100,5b0ad393e9270900013b96e6
summer,1,11814,Call police to fine driver.,100,5b0ad393e9270900013b96e6
summer,2,7601,Break window.,62,5b0ad393e9270900013b96e6
summer,3,20765,Ignore the problem.,10,5b0ad393e9270900013b96e6
summer,5,75044,Record the dogs distress and brain damage or death on my pone and post the drivers car and plate on the web to prevent others killing their dog this way.,41,5b0ad393e9270900013b96e6
gas,0,7972,Leave her there.,100,5b0ad393e9270900013b96e6
gas,1,8638,Take her all the way.,100,5b0ad393e9270900013b96e6
gas,2,16945,Take her to my place then turn her loose.,91,5b0ad393e9270900013b96e6
gas,3,23124,Give her money to go away.,62,5b0ad393e9270900013b96e6
gas,4,14458,Lie and say going opposite direction.,39,5b0ad393e9270900013b96e6
ring,0,19408,Fake being sick and get an ambulance.,17,5b0ad393e9270900013b96e6
ring,2,13166,Tell them the truth.,61,5b0ad393e9270900013b96e6
ring,4,45525,Buy another ring somehow from somebody or a nearby store.,100,5b0ad393e9270900013b96e6
ring,5,65549,Write an I.O.U. for the couple when ring time comes.,0,5b0ad393e9270900013b96e6
store,0,12726,Lock store and go to court.,100,5b0ad393e9270900013b96e6
store,1,18791,Call lawyer to convey message during court.,91,5b0ad393e9270900013b96e6
store,2,18543,Ignore the problem and get a F.T.A.,0,5b0ad393e9270900013b96e6
store,3,23816,Call the court directly.,35,5b0ad393e9270900013b96e6
store,4,34239,"Lock store, drive to bosses house immediatly.",100,5b0ad393e9270900013b96e6
store,5,13085,Get another employee to come.,89,5b0ad393e9270900013b96e6
arizona,0,10378,Leave her and get help.,100,5b0ad393e9270900013b96e6
arizona,1,35647,Write big SOS in the sand in case of a plane.,80,5b0ad393e9270900013b96e6
arizona,2,29045,Make shelter over her and wait till arm comes loose.,10,5b0ad393e9270900013b96e6
arizona,3,40146,"Use anything for lubricant, such ass nearby plants.",75,5b0ad393e9270900013b96e6
arizona,4,30418,Yell loud till exhausted in case of people around.,100,5b0ad393e9270900013b96e6
arizona,5,14578,Break her arm.,86,5b0ad393e9270900013b96e6
mother,0,13604,Move him in and get a better job.,100,5b0ad393e9270900013b96e6
mother,1,15153,GoFundMe page for the cash.,79,5b0ad393e9270900013b96e6
mother,2,22607,Buy super cheap home care fro Craigslist.,89,5b0ad393e9270900013b96e6
mother,3,9613,Ignore the problem.,0,5b0ad393e9270900013b96e6
mother,4,15832,Buy better insurance.,100,5b0ad393e9270900013b96e6
mother,5,23526,Turn him over to the state for care.,62,5b0ad393e9270900013b96e6
class,0,10505,Call mom to bring it.,92,5b0ad393e9270900013b96e6
class,1,9787,Leave school and get it.,100,5b0ad393e9270900013b96e6
class,2,21676,Tell them any lame excuse to get more time.,81,5b0ad393e9270900013b96e6
class,3,12232,Redo the assignment on the spot.,95,5b0ad393e9270900013b96e6
class,4,11228,Do nothing and take the fail.,100,5b0ad393e9270900013b96e6
concert,0,6774,Sneak in.,87,5b0ad393e9270900013b96e6
concert,1,16061,Bribe the bouncer with case or goods.,100,5b0ad393e9270900013b96e6
concert,2,17075,Go to concert myself.,18,5b0ad393e9270900013b96e6
concert,3,25627,Both of us sell the ticket in hand and do something else.,100,5b0ad393e9270900013b96e6
concert,4,21093,Cuss my friend out so I feel better.,29,5b0ad393e9270900013b96e6
concert,5,50008,Search on the phone for a scan-able ticket.,100,5b0ad393e9270900013b96e6
bakery,0,19484,Delete some sales to balance.,22,5b0ad393e9270900013b96e6
bakery,1,13335,Use my own money to cover.,100,5b0ad393e9270900013b96e6
bakery,2,16611,"Leave as, is with note to boss.",95,5b0ad393e9270900013b96e6
bakery,3,16129,Quit and never visit the place ever.,100,5b0ad393e9270900013b96e6
bakery,4,12159,Lie that I got robbed.,24,5b0ad393e9270900013b96e6
bakery,5,47832,Blame someone else somehow. Such as till was short when I got it.,63,5b0ad393e9270900013b96e6
mother,0,10621,Move in with my dad,78,5e500ab1ec45d305b6b82d9f
mother,1,29238,See if any of my aunts or uncles could take care of my dad,86,5e500ab1ec45d305b6b82d9f
mother,2,27203,Get a bigger apartment and have my dad move in,61,5e500ab1ec45d305b6b82d9f
mother,3,53756,"If I lived in a complex, my dad could move into an apartment in my complex",60,5e500ab1ec45d305b6b82d9f
mother,5,26124,"Reach out to senior organizations to get advice ",44,5e500ab1ec45d305b6b82d9f
ring,0,15924,Call the taxi company,100,5e500ab1ec45d305b6b82d9f
ring,1,10235,Go outside and see if the taxi is nearby,65,5e500ab1ec45d305b6b82d9f
ring,2,15296,Explain to them what happened and try to get the ring back later,33,5e500ab1ec45d305b6b82d9f
ring,3,45618,Just tell them what happened and see what they want me to do,44,5e500ab1ec45d305b6b82d9f
ring,4,15732,Get someone else at the wedding to try to track the taxi down,54,5e500ab1ec45d305b6b82d9f
ring,5,7592,Try to track the taxi down myself,62,5e500ab1ec45d305b6b82d9f
gas,3,21509,Give her a ride,50,5e500ab1ec45d305b6b82d9f
gas,5,26207,Just ignore her,0,5e500ab1ec45d305b6b82d9f
bakery,0,24010,Tell the manager,64,5e500ab1ec45d305b6b82d9f
bakery,1,5205,"Not say anything ",16,5e500ab1ec45d305b6b82d9f
bakery,2,34615,Work overtime,32,5e500ab1ec45d305b6b82d9f
bakery,3,23435,Double count to see if I made a mistake counting the first time,79,5e500ab1ec45d305b6b82d9f
bakery,4,17306,Talk to the other employees and explain the situation,94,5e500ab1ec45d305b6b82d9f
bakery,5,22920,Put my own money in there,0,5e500ab1ec45d305b6b82d9f
arizona,0,15682,Walk until I get phone service,67,5e500ab1ec45d305b6b82d9f
arizona,1,5012,Try to find water,28,5e500ab1ec45d305b6b82d9f
arizona,2,5153,Try to get my friend out,34,5e500ab1ec45d305b6b82d9f
arizona,3,21005,Go back the way we came to get to our car,81,5e500ab1ec45d305b6b82d9f
arizona,4,7536,Try to flag someone down,65,5e500ab1ec45d305b6b82d9f
arizona,5,12795,See if anyone else is nearby,70,5e500ab1ec45d305b6b82d9f
summer,0,12499,Go to the front desk at the mall and tell them,45,5e500ab1ec45d305b6b82d9f
summer,1,10375,Call the non-emergency line and tell them,61,5e500ab1ec45d305b6b82d9f
summer,2,4952,Break the window,45,5e500ab1ec45d305b6b82d9f
summer,3,16154,Call the front desk at the mall and tell me the situation,62,5e500ab1ec45d305b6b82d9f
summer,4,20062,Call my mom and see what I should do,32,5e500ab1ec45d305b6b82d9f
summer,5,36699,Get someone else in the parking lot and see what they think we should do,43,5e500ab1ec45d305b6b82d9f
store,0,10127,Call another employee to see if they can come in,71,5e500ab1ec45d305b6b82d9f
store,1,23222,"If the owner has a spouse and I have their number, call them",72,5e500ab1ec45d305b6b82d9f
store,3,7388,Call my lawyer if I have one,66,5e500ab1ec45d305b6b82d9f
store,4,8174,Keep trying to call my boss,30,5e500ab1ec45d305b6b82d9f
store,5,16315,Call corporate,71,5e500ab1ec45d305b6b82d9f
class,0,15894,Explain to the teacher what happened,95,5e500ab1ec45d305b6b82d9f
class,1,14224,See if I can turn the assignment in tomorrow,95,5e500ab1ec45d305b6b82d9f
class,2,9129,Call my mom and see if she can bring the assignment to school,66,5e500ab1ec45d305b6b82d9f
class,4,9613,Try to do the assignment quickly,28,5e500ab1ec45d305b6b82d9f
class,5,27650,Explain to a classmate what happened and ask if I can copy their work,45,5e500ab1ec45d305b6b82d9f
concert,0,8692,Go to the concert by myself,36,5e500ab1ec45d305b6b82d9f
concert,1,26285,Go with Ted to get his ticket,42,5e500ab1ec45d305b6b82d9f
concert,2,6722,Try to buy a ticket from a scalper,55,5e500ab1ec45d305b6b82d9f
concert,3,13256,Give Ted my ticket and go do something else,38,5e500ab1ec45d305b6b82d9f
concert,4,18638,Skip the concert and do something else entirely,40,5e500ab1ec45d305b6b82d9f
concert,5,19464,See if Ted can bring the ticket up on his phone,91,5e500ab1ec45d305b6b82d9f
medication,0,9651,Ask my family to borrow money,68,5e500ab1ec45d305b6b82d9f
medication,1,10285,Ask my friends to borrow money for the medicine,60,5e500ab1ec45d305b6b82d9f
medication,2,8287,Work overtime,38,5e500ab1ec45d305b6b82d9f
medication,3,7835,Try to get an advance on my check,41,5e500ab1ec45d305b6b82d9f
class,0,11726,Call your mom and have her bring it to school.,83,597b81f3de42bf000181db0b
class,1,8242,Quickly do the assignment again.,65,597b81f3de42bf000181db0b
class,2,7324,Tell the teacher the truth and ask for clemency.,100,597b81f3de42bf000181db0b
class,3,8777,Lie and say your dog ate your homework.,0,597b81f3de42bf000181db0b
class,5,51279,Skip lunch and go get the homework yourself.,50,597b81f3de42bf000181db0b
ring,0,7948,Panic.,34,597b81f3de42bf000181db0b
ring,1,11320,"Tell someone, ask for help.",61,597b81f3de42bf000181db0b
ring,2,18260,"Tell your sister (the Bride). ",19,597b81f3de42bf000181db0b
ring,3,12687,"Call the Taxi company, try to recover the ring.",95,597b81f3de42bf000181db0b
ring,4,16717,Use a fake ring and hope no one notices.,14,597b81f3de42bf000181db0b
ring,5,32404,Cause a disturbance so that the wedding is postponed.,0,597b81f3de42bf000181db0b
bakery,0,9093,Let the staff work overtime.,37,597b81f3de42bf000181db0b
bakery,1,15549,"Do a recount, maybe you made a mistake.",74,597b81f3de42bf000181db0b
bakery,2,9932,Pay the difference out of pocket.,58,597b81f3de42bf000181db0b
bakery,3,56069,Ask the staff their input.,50,597b81f3de42bf000181db0b
bakery,4,39292,Try to determine the cause.,61,597b81f3de42bf000181db0b
bakery,5,31664,"Report as is, but ask for leniency for the staff.",71,597b81f3de42bf000181db0b
store,0,8704,"Stay at work, miss court appointment.",26,597b81f3de42bf000181db0b
store,1,61192,Leave work unattended and go to court.,32,597b81f3de42bf000181db0b
store,2,32333,"Close and lock up at work, go to court.",50,597b81f3de42bf000181db0b
store,3,24301,Ask another employee to cover for you.,66,597b81f3de42bf000181db0b
store,5,16596,Call the courthouse and ask for an extension.,64,597b81f3de42bf000181db0b
gas,1,23338,Give her what she wants.,65,597b81f3de42bf000181db0b
gas,2,12209,"Give her a ride, but only part of the way.",73,597b81f3de42bf000181db0b
gas,3,26149,Simply decline.,50,597b81f3de42bf000181db0b
gas,4,38925,Give her bus fare/drop her off at a bus station.,50,597b81f3de42bf000181db0b
gas,5,34705,Call a taxi/Uber for her.,50,597b81f3de42bf000181db0b
arizona,0,7530,Chew her arm off.,8,597b81f3de42bf000181db0b
arizona,1,27439,Leave to find a location with better reception.,84,597b81f3de42bf000181db0b
arizona,2,66843,Try to chisel away at the stone.,46,597b81f3de42bf000181db0b
arizona,3,32591,Drink your own urine to stay hydrated? Gross.,0,597b81f3de42bf000181db0b
arizona,4,26817,"Pee on her arm, maybe it will slip out. Tee hee.",50,597b81f3de42bf000181db0b
arizona,5,10679,Go get help.,100,597b81f3de42bf000181db0b
summer,0,4529,Ignore the dog.,13,597b81f3de42bf000181db0b
summer,1,37866,Break a window on the car.,33,597b81f3de42bf000181db0b
summer,2,16641,Call the police/mall security.,91,597b81f3de42bf000181db0b
summer,3,9440,Wait around for the owner to come back so you can yell at them.,38,597b81f3de42bf000181db0b
summer,4,18571,Get the attention of other people nearby.,50,597b81f3de42bf000181db0b
summer,5,73193,Call some kind of animal abuse hotline?,50,597b81f3de42bf000181db0b
mother,0,11844,Try to squeeze your father in your apartment anyway.,42,597b81f3de42bf000181db0b
mother,1,17514,Move to somewhere big enough for the both of you.,62,597b81f3de42bf000181db0b
mother,2,13143,Ask other family for help.,70,597b81f3de42bf000181db0b
mother,3,31730,Look into charitable donations or offers.,50,597b81f3de42bf000181db0b
mother,4,19017,Hire a nurse for your father.,77,597b81f3de42bf000181db0b
mother,5,9300,Let your father fend for himself.,17,597b81f3de42bf000181db0b
medication,0,6827,Ask for help from family.,68,597b81f3de42bf000181db0b
medication,1,11901,Ask for help on social media/gofundme/whatever.,55,597b81f3de42bf000181db0b
medication,2,8953,Enter a life of crime and steal the medicine.,32,597b81f3de42bf000181db0b
medication,3,22536,"Sell everything, do anything, to afford the medicine.",50,597b81f3de42bf000181db0b
medication,4,8535,Go without and enjoy the time you have left.,50,597b81f3de42bf000181db0b
medication,5,5786,Ask partner what they think.,75,597b81f3de42bf000181db0b
concert,0,4841,Ditch Ted.,32,597b81f3de42bf000181db0b
concert,1,9087,Give Ted your ticket.,67,597b81f3de42bf000181db0b
concert,2,15995,Go with Ted to get his ticket. Miss the show together.,69,597b81f3de42bf000181db0b
concert,3,6869,Skip the concert entirely.,50,597b81f3de42bf000181db0b
concert,4,13521,"Try to get a ticket from someone else, a scalper or something.",50,597b81f3de42bf000181db0b
concert,5,8189,Try to sneak in without a ticket.,21,597b81f3de42bf000181db0b
