,Unnamed: 0,Males,Unnamed: 2,Unnamed: 3,Unnamed: 4,Females,Unnamed: 6,Female Height,Male Height
0,,6'2'',83.2,83.2,,"5'9""",91.4,69,74
1,,6'1'',83.1,83.1,,"5'6""",90.0,66,73
2,,5'11'',82.4,82.4,,"5'9""",88.7,69,71
3,,6'1'',82.0,82.0,,5'8'',86.8,68,73
4,,5'10'',81.8,81.8,,"5'9""",84.9,69,70
5,,5'11',0.817,81.7,,"5'10""",83.0,70,71
6,,6'2'',0.815,81.5,,"5'6""",82.0,66,74
7,,5'8'',0.798,79.8,,"5'5""",81.8,65,68
8,,6'1'',0.774,77.4,,"5'6""",81.0,66,73
9,,6'3'',0.769,76.9,,"5'7""",80.2,67,75
10,,6'3'',0.765,76.5,,"5'9""",80.0,69,75
11,,5'11',0.762,76.2,,"6'2""",79.5,74,71
12,,5'11,0.76,76.0,,"6'2""",79.0,74,71
13,,6'1'',0.754,75.4,,"5'9""",77.0,69,73
14,,6'2'',0.748,74.8,,"6'1""",75.5,73,74
15,,5'11',0.748,74.8,,"5'7""",75.4,67,71
16,,6'2'',0.742,74.2,,"5'8""",74.4,68,74
17,,5'7'',0.739,73.9,,"5'8""",72.8,68,67
18,,6'0,0.731,73.1,,"6'0""",72.2,72,72
19,,6'0'',0.72,72.0,,"5'7""",71.8,67,72
20,,6'4'',0.719,71.9,,"5'8""",71.8,68,76
21,,"6'6""",0.717,71.7,,"5'8""",71.3,68,78
22,,"6'0""",0.714,71.4,,"5'10""",70.6,70,72
23,,"6'1""",0.713,71.3,,"5'9""",70.6,69,73
24,,"5'10""",0.712,71.2,,"5'6""",70.3,66,70
25,,"5'10""",0.709,70.9,,"6'0""",69.8,72,70
26,,"5'10""",0.702,70.2,,"6'0""",69.3,72,70
27,,"6'0""",0.698,69.8,,"5'9""",69.3,69,72
28,,"5'11""",0.696,69.6,,"5'10""",69.2,70,71
29,,"5'7""",0.696,69.6,,"5'8""",68.8,68,67
30,,"6'4""",0.696,69.6,,"5'5""",68.5,65,76
31,,"6'0""",0.691,69.1,,"6'0""",68.1,72,72
32,,"6'6""",0.687,68.7,,"5'11""",67.8,71,78
33,,"6'4""",0.686,68.6,,"6'2""",66.7,74,76
34,,"5'9""",0.683,68.3,,"5'8""",66.1,68,69
35,,"6'2""",0.683,68.3,,"5'9""",65.8,69,74
36,,"6'6""",0.683,68.3,,"5'8""",65.0,68,78
37,,"6'3""",0.682,68.2,,"5'3""",64.7,63,75
38,,"6'1""",0.681,68.1,,"6'1""",64.7,73,73
39,,"6'0""",0.68,68.0,,"5'5""",64.5,65,72
40,,"5'9""",0.68,68.0,,"5'6""",64.5,66,69
41,,"6'5""",0.68,68.0,,"5'10""",63.8,70,77
42,,"6'0""",0.672,67.2,,"5'11""",63.6,71,72
43,,"5'10""",0.671,67.1,,"5'10""",63.5,70,70
44,,"5'9""",0.671,67.1,,"5'7""",63.2,67,69
45,,"6'0""",0.669,66.9,,"5'2""",62.8,62,72
46,,"6'4""",0.669,66.9,,"5'5""",62.4,65,76
47,,"6'2""",0.668,66.8,,"5'11""",62.1,71,74
48,,"6'3""",0.666,66.6,,"5'8""",61.5,68,75
49,,"6'0""",0.666,66.6,,"5'6""",60.9,66,72
50,,"5'11""",0.666,66.6,,"5'8""",60.8,68,71
51,,"5'10""",0.664,66.4,,"5'4""",60.7,64,70
52,,"5'9""",0.661,66.1,,"6'0""",60.7,72,69
53,,"6'4""",0.66,66.0,,"5'7""",60.6,67,76
54,,"6'1""",0.659,65.9,,"5'10""",60.6,70,73
55,,"5'9""",0.657,65.7,,"5'6""",60.0,66,69
56,,"6'5""",0.652,65.2,,"5'4""",59.9,64,77
57,,"6'5""",0.652,65.2,,"5'9""",59.7,69,77
58,,"6'1""",0.652,65.2,,"5'11""",59.4,71,73
59,,"5'10""",0.651,65.1,,"5'6""",59.1,66,70
60,,"6'1""",0.651,65.1,,"5'11""",59.1,71,73
61,,"6'2""",0.651,65.1,,"5'10""",59.0,70,74
62,,"5'10""",0.649,64.9,,"5'10""",58.4,70,70
63,,"5'10""",0.648,64.8,,"5'5""",58.1,65,70
64,,"6'0""",0.647,64.7,,"5'11""",57.9,71,72
65,,"6'3""",0.647,64.7,,"5'11""",57.9,71,75
66,,"6'0""",0.646,64.6,,"5'5""",57.8,65,72
67,,"6'4""",0.646,64.6,,"5'5""",57.8,65,76
68,,"6'6""",0.645,64.5,,"5'7""",57.7,67,78
69,,"6'1""",0.644,64.4,,"5'5""",57.5,65,73
70,,6'4'',0.643,64.3,,"5'9""",57.5,69,76
71,,"6'3""",0.643,64.3,,"5'10""",57.4,70,75
72,,"6'1""",0.643,64.3,,"5'10""",57.3,70,73
73,,"5'9""",0.639,63.9,,"5'9""",57.2,69,69
74,,"5'10""",0.638,63.8,,"5'6""",57.0,66,70
75,,"5'11""",0.638,63.8,,"5'10""",56.9,70,71
76,,"6'6""",0.637,63.7,,"5'9""",56.5,69,78
77,,"5'6""",0.633,63.3,,"5'5""",56.4,65,66
78,,"6'0""",0.633,63.3,,"5'1""",56.4,61,72
79,,"6'4""",0.633,63.3,,"5'5""",56.2,65,76
80,,"6'2""",0.633,63.3,,"5'9""",56.2,69,74
81,,"6'0""",0.631,63.1,,"5'8""",55.9,68,72
82,,"5'9""",0.629,62.9,,"5'8""",55.7,68,69
83,,"6'0""",0.628,62.8,,"5'5""",55.6,65,72
84,,"6'2""",0.627,62.7,,"5'8""",55.2,68,74
85,,"6'3""",0.627,62.7,,"5'7""",55.2,67,75
86,,"5'10""",0.627,62.7,,"5'6""",55.0,66,70
87,,"6'3""",0.627,62.7,,"5'8""",54.7,68,75
88,,"6'0""",0.625,62.5,,"5'7""",54.6,67,72
89,,"6'2""",0.625,62.5,,"5'9""",54.3,69,74
90,,"6'2""",0.623,62.3,,"5'5""",54.3,65,74
91,,"6'3""",0.623,62.3,,"6'0""",54.1,72,75
92,,"6'0""",0.622,62.2,,"5'11""",54.1,71,72
93,,"6'0""",0.62,62.0,,"5'5""",54.0,65,72
94,,"6'1""",0.62,62.0,,"5'4""",54.0,64,73
95,,"6'4""",0.62,62.0,,"5'5""",53.5,65,76
96,,"6'2""",0.619,61.9,,"5'9""",52.8,69,74
97,,"6'4""",0.618,61.8,,"5'6""",51.9,66,76
98,,"6'10""",0.617,61.7,,"5'7""",51.6,67,82
99,,"6'0""",0.617,61.7,,"5'9""",51.6,69,72
